,Previous EIF,old AUT score (%),new AUT score (%),old STRENG score (%),new STRENG score (%),Not Answer (#),Not Applicable (#),No/Gradient,Yes/Gradient (#)
RDF,3.0.0,72,97,68,68,0,14,1,29
RegOrg,3.1.0,58,79,64,64,0,16,6,22
OWL2,3.1.0,64,86,66,66,0,15,4,25
HTTPS,3.0.0,69,93,66,66,0,15,2,27
DNS,3.0.0,70,100,52,53,0,20,0,23
ADMS,3.1.0,57,77,68,68,0,14,7,23
FTP,3.0.0,59,79,66,66,0,15,6,23
CCCEV,3.1.0,62,83,66,66,0,15,5,24
XAdES,3.1.0,38,55,50,51,0,21,10,12
JPEG,3.1.0,49,67,61,59,0,17,8,18
ISO 3166-1 2020 Codes for the representation of names of countries and their subdivisions -- Part 1 Country codes,5.0.0,Undefined,Undefined,Undefined,Undefined,0,Undefined,10,Undefined
BP_WebData,3.1.0,41,41,55,52,0,10,9,14
Ogg,3.1.0,50,50,59,57,0,8,7,18
OpenPM2,3.1.0,49,49,70,68,0,3,10,20
LDAP,3.1.0,65,65,55,56,0,9,2,22
UDDI,3.0.0,57,57,57,58,0,8,5,20
SAMM_EIF_Scenario,3.1.0,61,61,59,60,0,7,4,22
SVG,3.1.0,59,56,66,64,0,5,6,22
LegalDocML,3.1.0,62,62,68,70,0,3,5,25
SOAP 1.2,3.0.0,66,66,64,64,0,6,3,25
JSON,3.0.0,69,69,66,66,0,5,2,27
WS-BPEL,3.1.0,57,57,61,59,0,7,5,21
TLS 1.2,3.0.0,65,65,55,56,0,9,2,22
XHTML,3.1.0,62,60,68,66,0,4,5,24
Xforms 2.0,3.1.0,52,52,52,53,0,10,6,17
ELI,3.1.0,55,55,64,64,0,6,7,21
CAdES,3.1.0,38,38,50,51,0,11,10,12
Better_Regulation_Toolbox,3.1.0,61,61,64,65,0,5,5,23
XML 1.1,3.0.0,69,69,66,66,0,5,2,27
OASIS Open Data Protocol (Odata),5.0.0,Undefined,Undefined,Undefined,Undefined,0,Undefined,4,Undefined
XSLT,3.0.0,71,70,55,53,0,10,0,23
LegalRuleML,3.1.0,66,66,70,70,0,3,4,27
ODLR 2.2,3.1.0,68,68,70,70,0,3,3,28
REST,5.0.0,Undefined,Undefined,Undefined,Undefined,0,Undefined,4,Undefined
HTML5 0.1,3.0.0,71,68,70,68,0,3,2,28
IPv6,3.0.0,73,73,61,63,0,6,0,27
Schema.org,5.0.0,Undefined,Undefined,Undefined,Undefined,0,Undefined,5,Undefined
CSS 2.1,3.1.0,54,54,57,55,0,9,5,19
GITB Test Description Language (TDL),5.0.0,Undefined,Undefined,Undefined,Undefined,0,Undefined,13,Undefined
HTTP 1.1,3.0.0,64,64,66,66,0,5,4,25
PAdES,3.1.0,38,38,50,51,0,11,10,12
PNG,3.1.0,41,41,61,59,0,7,11,15
TSP,3.1.0,57,57,57,58,0,8,5,20
ISAE 3402,5.0.0,Undefined,Undefined,Undefined,Undefined,0,Undefined,11,Undefined
OASIS Topology and Orchestration Specification for Cloud Applications (TOSCA),5.0.0,Undefined,Undefined,Undefined,Undefined,0,Undefined,11,Undefined
UTF-8,3.0.0,69,69,66,66,0,5,2,27
WAI-ARIA,5.0.0,Undefined,Undefined,Undefined,Undefined,0,Undefined,7,Undefined
WSS,3.0.0,61,61,59,60,0,7,4,22
